date,rain_mm,district,state
2000-10-22,0.0,Cuttack,Odisha
2000-10-23,0.0,Cuttack,Odisha
2000-10-24,0.0,Cuttack,Odisha
2000-10-25,0.0,Cuttack,Odisha
2000-10-26,0.0,Cuttack,Odisha
2000-10-27,0.0,Cuttack,Odisha
2000-10-28,0.0,Cuttack,Odisha
2000-10-29,0.6608462929725647,Cuttack,Odisha
2000-10-30,0.0,Cuttack,Odisha
2000-10-31,0.0,Cuttack,Odisha
2000-11-01,0.0,Cuttack,Odisha
2000-11-02,0.0,Cuttack,Odisha
2000-11-03,0.0,Cuttack,Odisha
2000-11-04,0.0,Cuttack,Odisha
2000-11-05,0.0,Cuttack,Odisha
2000-11-06,0.0,Cuttack,Odisha
2000-11-07,0.0,Cuttack,Odisha
2000-11-08,0.0,Cuttack,Odisha
2000-11-09,0.0,Cuttack,Odisha
2000-11-10,0.0,Cuttack,Odisha
2000-11-11,0.0,Cuttack,Odisha
2000-11-12,0.0,Cuttack,Odisha
2000-11-13,0.0,Cuttack,Odisha
2000-11-14,0.0,Cuttack,Odisha
2000-11-15,0.0,Cuttack,Odisha
2000-11-16,0.0,Cuttack,Odisha
2000-11-17,0.0,Cuttack,Odisha
2000-11-18,0.0,Cuttack,Odisha
2000-11-19,0.0,Cuttack,Odisha
2000-11-20,0.0,Cuttack,Odisha
2000-11-21,0.0,Cuttack,Odisha
2000-11-22,0.0,Cuttack,Odisha
2000-11-23,0.0,Cuttack,Odisha
2000-11-24,0.0,Cuttack,Odisha
2000-11-25,0.0,Cuttack,Odisha
2000-11-26,0.0,Cuttack,Odisha
2000-11-27,0.0,Cuttack,Odisha
2000-11-28,0.0,Cuttack,Odisha
2000-11-29,0.19709450006484985,Cuttack,Odisha
2000-11-30,0.0,Cuttack,Odisha
2000-12-01,0.0,Cuttack,Odisha
2000-12-02,0.0,Cuttack,Odisha
2000-12-03,0.0,Cuttack,Odisha
2000-12-04,0.0,Cuttack,Odisha
2000-12-05,0.0,Cuttack,Odisha
2000-12-06,0.0,Cuttack,Odisha
2000-12-07,0.0,Cuttack,Odisha
2000-12-08,0.0,Cuttack,Odisha
2000-12-09,0.0,Cuttack,Odisha
2000-12-10,0.0,Cuttack,Odisha
2000-12-11,0.0,Cuttack,Odisha
2000-12-12,0.0,Cuttack,Odisha
2000-12-13,0.0,Cuttack,Odisha
2000-12-14,0.0,Cuttack,Odisha
2000-12-15,0.0,Cuttack,Odisha
2000-12-16,0.0,Cuttack,Odisha
2000-12-17,0.0,Cuttack,Odisha
2000-12-18,0.0,Cuttack,Odisha
